DateRangeId,Period,Week,Dates,Days,Date,FinancialYear,Year,Month,WeekNo,DayNo,IsCurrentYear,Week_number
41,PERIOD 01/2324,WEEK 07/2324,111 MAY 2023,THURSDAY,2023-05-11,2023-24,2023,5,WEEK 07,41,1,7
42,PERIOD 01/2324,WEEK 07/2324,122 MAY 2023,FRIDAY,2023-05-12,2023-24,2023,5,WEEK 07,42,1,7
43,PERIOD 01/2324,WEEK 07/2324,133 MAY 2023,SATURDAY,2023-05-13,2023-24,2023,5,WEEK 07,43,1,7
44,PERIOD 01/2324,WEEK 07/2324,144 MAY 2023,SUNDAY,2023-05-14,2023-24,2023,5,WEEK 07,44,1,7
45,PERIOD 01/2324,WEEK 08/2324,155 MAY 2023,MONDAY,2023-05-15,2023-24,2023,5,WEEK 08,45,1,8
46,PERIOD 01/2324,WEEK 08/2324,166 MAY 2023,TUESDAY,2023-05-16,2023-24,2023,5,WEEK 08,46,1,8
47,PERIOD 01/2324,WEEK 08/2324,177 MAY 2023,WEDNESDAY,2023-05-17,2023-24,2023,5,WEEK 08,47,1,8
48,PERIOD 01/2324,WEEK 08/2324,188 MAY 2023,THURSDAY,2023-05-18,2023-24,2023,5,WEEK 08,48,1,8
49,PERIOD 01/2324,WEEK 08/2324,199 MAY 2023,FRIDAY,2023-05-19,2023-24,2023,5,WEEK 08,49,1,8
50,PERIOD 01/2324,WEEK 08/2324,200 MAY 2023,SATURDAY,2023-05-20,2023-24,2023,5,WEEK 08,50,1,8
51,PERIOD 01/2324,WEEK 08/2324,211 MAY 2023,SUNDAY,2023-05-21,2023-24,2023,5,WEEK 08,51,1,8
52,PERIOD 01/2324,WEEK 09/2324,222 MAY 2023,MONDAY,2023-05-22,2023-24,2023,5,WEEK 09,52,1,9
53,PERIOD 01/2324,WEEK 09/2324,233 MAY 2023,TUESDAY,2023-05-23,2023-24,2023,5,WEEK 09,53,1,9
54,PERIOD 01/2324,WEEK 09/2324,244 MAY 2023,WEDNESDAY,2023-05-24,2023-24,2023,5,WEEK 09,54,1,9
55,PERIOD 01/2324,WEEK 09/2324,255 MAY 2023,THURSDAY,2023-05-25,2023-24,2023,5,WEEK 09,55,1,9
56,PERIOD 01/2324,WEEK 09/2324,266 MAY 2023,FRIDAY,2023-05-26,2023-24,2023,5,WEEK 09,56,1,9
57,PERIOD 01/2324,WEEK 09/2324,277 MAY 2023,SATURDAY,2023-05-27,2023-24,2023,5,WEEK 09,57,1,9
58,PERIOD 01/2324,WEEK 09/2324,288 MAY 2023,SUNDAY,2023-05-28,2023-24,2023,5,WEEK 09,58,1,9
59,PERIOD 01/2324,WEEK 10/2324,299 MAY 2023,MONDAY,2023-05-29,2023-24,2023,5,WEEK 10,59,1,10
60,PERIOD 01/2324,WEEK 10/2324,300 MAY 2023,TUESDAY,2023-05-30,2023-24,2023,5,WEEK 10,60,1,10
61,PERIOD 01/2324,WEEK 10/2324,311 MAY 2023,WEDNESDAY,2023-05-31,2023-24,2023,5,WEEK 10,61,1,10
62,PERIOD 01/2324,WEEK 10/2324,11 JUN 2023,THURSDAY,2023-06-01,2023-24,2023,6,WEEK 10,62,1,10
63,PERIOD 01/2324,WEEK 10/2324,22 JUN 2023,FRIDAY,2023-06-02,2023-24,2023,6,WEEK 10,63,1,10
64,PERIOD 01/2324,WEEK 10/2324,33 JUN 2023,SATURDAY,2023-06-03,2023-24,2023,6,WEEK 10,64,1,10
65,PERIOD 01/2324,WEEK 10/2324,44 JUN 2023,SUNDAY,2023-06-04,2023-24,2023,6,WEEK 10,65,1,10
66,PERIOD 01/2324,WEEK 11/2324,55 JUN 2023,MONDAY,2023-06-05,2023-24,2023,6,WEEK 11,66,1,11
67,PERIOD 01/2324,WEEK 11/2324,66 JUN 2023,TUESDAY,2023-06-06,2023-24,2023,6,WEEK 11,67,1,11
68,PERIOD 01/2324,WEEK 11/2324,77 JUN 2023,WEDNESDAY,2023-06-07,2023-24,2023,6,WEEK 11,68,1,11
69,PERIOD 01/2324,WEEK 11/2324,88 JUN 2023,THURSDAY,2023-06-08,2023-24,2023,6,WEEK 11,69,1,11
70,PERIOD 01/2324,WEEK 11/2324,99 JUN 2023,FRIDAY,2023-06-09,2023-24,2023,6,WEEK 11,70,1,11
71,PERIOD 01/2324,WEEK 11/2324,100 JUN 2023,SATURDAY,2023-06-10,2023-24,2023,6,WEEK 11,71,1,11
72,PERIOD 01/2324,WEEK 11/2324,111 JUN 2023,SUNDAY,2023-06-11,2023-24,2023,6,WEEK 11,72,1,11
73,PERIOD 01/2324,WEEK 12/2324,122 JUN 2023,MONDAY,2023-06-12,2023-24,2023,6,WEEK 12,73,1,12
74,PERIOD 01/2324,WEEK 12/2324,133 JUN 2023,TUESDAY,2023-06-13,2023-24,2023,6,WEEK 12,74,1,12
75,PERIOD 01/2324,WEEK 12/2324,144 JUN 2023,WEDNESDAY,2023-06-14,2023-24,2023,6,WEEK 12,75,1,12
76,PERIOD 01/2324,WEEK 12/2324,155 JUN 2023,THURSDAY,2023-06-15,2023-24,2023,6,WEEK 12,76,1,12
77,PERIOD 01/2324,WEEK 12/2324,166 JUN 2023,FRIDAY,2023-06-16,2023-24,2023,6,WEEK 12,77,1,12
78,PERIOD 01/2324,WEEK 12/2324,177 JUN 2023,SATURDAY,2023-06-17,2023-24,2023,6,WEEK 12,78,1,12
79,PERIOD 01/2324,WEEK 12/2324,188 JUN 2023,SUNDAY,2023-06-18,2023-24,2023,6,WEEK 12,79,1,12
80,PERIOD 01/2324,WEEK 13/2324,199 JUN 2023,MONDAY,2023-06-19,2023-24,2023,6,WEEK 13,80,1,13
81,PERIOD 01/2324,WEEK 13/2324,200 JUN 2023,TUESDAY,2023-06-20,2023-24,2023,6,WEEK 13,81,1,13
82,PERIOD 01/2324,WEEK 13/2324,211 JUN 2023,WEDNESDAY,2023-06-21,2023-24,2023,6,WEEK 13,82,1,13
83,PERIOD 01/2324,WEEK 13/2324,222 JUN 2023,THURSDAY,2023-06-22,2023-24,2023,6,WEEK 13,83,1,13
84,PERIOD 01/2324,WEEK 13/2324,233 JUN 2023,FRIDAY,2023-06-23,2023-24,2023,6,WEEK 13,84,1,13
85,PERIOD 01/2324,WEEK 13/2324,244 JUN 2023,SATURDAY,2023-06-24,2023-24,2023,6,WEEK 13,85,1,13
86,PERIOD 01/2324,WEEK 13/2324,255 JUN 2023,SUNDAY,2023-06-25,2023-24,2023,6,WEEK 13,86,1,13
87,PERIOD 01/2324,WEEK 14/2324,266 JUN 2023,MONDAY,2023-06-26,2023-24,2023,6,WEEK 14,87,1,14
88,PERIOD 01/2324,WEEK 14/2324,277 JUN 2023,TUESDAY,2023-06-27,2023-24,2023,6,WEEK 14,88,1,14
89,PERIOD 01/2324,WEEK 14/2324,288 JUN 2023,WEDNESDAY,2023-06-28,2023-24,2023,6,WEEK 14,89,1,14
90,PERIOD 01/2324,WEEK 14/2324,299 JUN 2023,THURSDAY,2023-06-29,2023-24,2023,6,WEEK 14,90,1,14
91,PERIOD 01/2324,WEEK 14/2324,300 JUN 2023,FRIDAY,2023-06-30,2023-24,2023,6,WEEK 14,91,1,14
92,PERIOD 01/2324,WEEK 14/2324,11 JUL 2023,SATURDAY,2023-07-01,2023-24,2023,7,WEEK 14,92,1,14
93,PERIOD 01/2324,WEEK 14/2324,22 JUL 2023,SUNDAY,2023-07-02,2023-24,2023,7,WEEK 14,93,1,14
94,PERIOD 01/2324,WEEK 15/2324,33 JUL 2023,MONDAY,2023-07-03,2023-24,2023,7,WEEK 15,94,1,15
95,PERIOD 01/2324,WEEK 15/2324,44 JUL 2023,TUESDAY,2023-07-04,2023-24,2023,7,WEEK 15,95,1,15
96,PERIOD 01/2324,WEEK 15/2324,55 JUL 2023,WEDNESDAY,2023-07-05,2023-24,2023,7,WEEK 15,96,1,15
97,PERIOD 01/2324,WEEK 15/2324,66 JUL 2023,THURSDAY,2023-07-06,2023-24,2023,7,WEEK 15,97,1,15
98,PERIOD 01/2324,WEEK 15/2324,77 JUL 2023,FRIDAY,2023-07-07,2023-24,2023,7,WEEK 15,98,1,15
