DateRangeId,Period,Week,Dates,Days,Date,FinancialYear,Year,Month,WeekNo,DayNo,IsCurrentYear,Week_number
201,PERIOD 01/2324,WEEK 30/2324,188 OCT 2023,WEDNESDAY,2023-10-18,2023-24,2023,10,WEEK 30,201,1,30
202,PERIOD 01/2324,WEEK 30/2324,199 OCT 2023,THURSDAY,2023-10-19,2023-24,2023,10,WEEK 30,202,1,30
203,PERIOD 01/2324,WEEK 30/2324,200 OCT 2023,FRIDAY,2023-10-20,2023-24,2023,10,WEEK 30,203,1,30
204,PERIOD 01/2324,WEEK 30/2324,211 OCT 2023,SATURDAY,2023-10-21,2023-24,2023,10,WEEK 30,204,1,30
205,PERIOD 01/2324,WEEK 30/2324,222 OCT 2023,SUNDAY,2023-10-22,2023-24,2023,10,WEEK 30,205,1,30
206,PERIOD 01/2324,WEEK 31/2324,233 OCT 2023,MONDAY,2023-10-23,2023-24,2023,10,WEEK 31,206,1,31
207,PERIOD 01/2324,WEEK 31/2324,244 OCT 2023,TUESDAY,2023-10-24,2023-24,2023,10,WEEK 31,207,1,31
208,PERIOD 01/2324,WEEK 31/2324,255 OCT 2023,WEDNESDAY,2023-10-25,2023-24,2023,10,WEEK 31,208,1,31
209,PERIOD 01/2324,WEEK 31/2324,266 OCT 2023,THURSDAY,2023-10-26,2023-24,2023,10,WEEK 31,209,1,31
210,PERIOD 01/2324,WEEK 31/2324,277 OCT 2023,FRIDAY,2023-10-27,2023-24,2023,10,WEEK 31,210,1,31
211,PERIOD 01/2324,WEEK 31/2324,288 OCT 2023,SATURDAY,2023-10-28,2023-24,2023,10,WEEK 31,211,1,31
212,PERIOD 01/2324,WEEK 31/2324,299 OCT 2023,SUNDAY,2023-10-29,2023-24,2023,10,WEEK 31,212,1,31
213,PERIOD 01/2324,WEEK 32/2324,300 OCT 2023,MONDAY,2023-10-30,2023-24,2023,10,WEEK 32,213,1,32
214,PERIOD 01/2324,WEEK 32/2324,311 OCT 2023,TUESDAY,2023-10-31,2023-24,2023,10,WEEK 32,214,1,32
215,PERIOD 01/2324,WEEK 32/2324,11 NOV 2023,WEDNESDAY,2023-11-01,2023-24,2023,11,WEEK 32,215,1,32
216,PERIOD 01/2324,WEEK 32/2324,22 NOV 2023,THURSDAY,2023-11-02,2023-24,2023,11,WEEK 32,216,1,32
217,PERIOD 01/2324,WEEK 32/2324,33 NOV 2023,FRIDAY,2023-11-03,2023-24,2023,11,WEEK 32,217,1,32
218,PERIOD 01/2324,WEEK 32/2324,44 NOV 2023,SATURDAY,2023-11-04,2023-24,2023,11,WEEK 32,218,1,32
219,PERIOD 01/2324,WEEK 32/2324,55 NOV 2023,SUNDAY,2023-11-05,2023-24,2023,11,WEEK 32,219,1,32
220,PERIOD 01/2324,WEEK 33/2324,66 NOV 2023,MONDAY,2023-11-06,2023-24,2023,11,WEEK 33,220,1,33
221,PERIOD 01/2324,WEEK 33/2324,77 NOV 2023,TUESDAY,2023-11-07,2023-24,2023,11,WEEK 33,221,1,33
222,PERIOD 01/2324,WEEK 33/2324,88 NOV 2023,WEDNESDAY,2023-11-08,2023-24,2023,11,WEEK 33,222,1,33
223,PERIOD 01/2324,WEEK 33/2324,99 NOV 2023,THURSDAY,2023-11-09,2023-24,2023,11,WEEK 33,223,1,33
224,PERIOD 01/2324,WEEK 33/2324,100 NOV 2023,FRIDAY,2023-11-10,2023-24,2023,11,WEEK 33,224,1,33
225,PERIOD 01/2324,WEEK 33/2324,111 NOV 2023,SATURDAY,2023-11-11,2023-24,2023,11,WEEK 33,225,1,33
226,PERIOD 01/2324,WEEK 33/2324,122 NOV 2023,SUNDAY,2023-11-12,2023-24,2023,11,WEEK 33,226,1,33
227,PERIOD 01/2324,WEEK 34/2324,133 NOV 2023,MONDAY,2023-11-13,2023-24,2023,11,WEEK 34,227,1,34
228,PERIOD 01/2324,WEEK 34/2324,144 NOV 2023,TUESDAY,2023-11-14,2023-24,2023,11,WEEK 34,228,1,34
229,PERIOD 01/2324,WEEK 34/2324,155 NOV 2023,WEDNESDAY,2023-11-15,2023-24,2023,11,WEEK 34,229,1,34
230,PERIOD 01/2324,WEEK 34/2324,166 NOV 2023,THURSDAY,2023-11-16,2023-24,2023,11,WEEK 34,230,1,34
231,PERIOD 01/2324,WEEK 34/2324,177 NOV 2023,FRIDAY,2023-11-17,2023-24,2023,11,WEEK 34,231,1,34
232,PERIOD 01/2324,WEEK 34/2324,188 NOV 2023,SATURDAY,2023-11-18,2023-24,2023,11,WEEK 34,232,1,34
233,PERIOD 01/2324,WEEK 34/2324,199 NOV 2023,SUNDAY,2023-11-19,2023-24,2023,11,WEEK 34,233,1,34
234,PERIOD 01/2324,WEEK 35/2324,200 NOV 2023,MONDAY,2023-11-20,2023-24,2023,11,WEEK 35,234,1,35
235,PERIOD 01/2324,WEEK 35/2324,211 NOV 2023,TUESDAY,2023-11-21,2023-24,2023,11,WEEK 35,235,1,35
236,PERIOD 01/2324,WEEK 35/2324,222 NOV 2023,WEDNESDAY,2023-11-22,2023-24,2023,11,WEEK 35,236,1,35
237,PERIOD 01/2324,WEEK 35/2324,233 NOV 2023,THURSDAY,2023-11-23,2023-24,2023,11,WEEK 35,237,1,35
238,PERIOD 01/2324,WEEK 35/2324,244 NOV 2023,FRIDAY,2023-11-24,2023-24,2023,11,WEEK 35,238,1,35
239,PERIOD 01/2324,WEEK 35/2324,255 NOV 2023,SATURDAY,2023-11-25,2023-24,2023,11,WEEK 35,239,1,35
240,PERIOD 01/2324,WEEK 35/2324,266 NOV 2023,SUNDAY,2023-11-26,2023-24,2023,11,WEEK 35,240,1,35
241,PERIOD 01/2324,WEEK 36/2324,277 NOV 2023,MONDAY,2023-11-27,2023-24,2023,11,WEEK 36,241,1,36
242,PERIOD 01/2324,WEEK 36/2324,288 NOV 2023,TUESDAY,2023-11-28,2023-24,2023,11,WEEK 36,242,1,36
243,PERIOD 01/2324,WEEK 36/2324,299 NOV 2023,WEDNESDAY,2023-11-29,2023-24,2023,11,WEEK 36,243,1,36
244,PERIOD 01/2324,WEEK 36/2324,300 NOV 2023,THURSDAY,2023-11-30,2023-24,2023,11,WEEK 36,244,1,36
245,PERIOD 01/2324,WEEK 36/2324,11 DEC 2023,FRIDAY,2023-12-01,2023-24,2023,12,WEEK 36,245,1,36
246,PERIOD 01/2324,WEEK 36/2324,22 DEC 2023,SATURDAY,2023-12-02,2023-24,2023,12,WEEK 36,246,1,36
247,PERIOD 01/2324,WEEK 36/2324,33 DEC 2023,SUNDAY,2023-12-03,2023-24,2023,12,WEEK 36,247,1,36
248,PERIOD 01/2324,WEEK 37/2324,44 DEC 2023,MONDAY,2023-12-04,2023-24,2023,12,WEEK 37,248,1,37
249,PERIOD 01/2324,WEEK 37/2324,55 DEC 2023,TUESDAY,2023-12-05,2023-24,2023,12,WEEK 37,249,1,37
250,PERIOD 01/2324,WEEK 37/2324,66 DEC 2023,WEDNESDAY,2023-12-06,2023-24,2023,12,WEEK 37,250,1,37
251,PERIOD 01/2324,WEEK 37/2324,77 DEC 2023,THURSDAY,2023-12-07,2023-24,2023,12,WEEK 37,251,1,37
252,PERIOD 01/2324,WEEK 37/2324,88 DEC 2023,FRIDAY,2023-12-08,2023-24,2023,12,WEEK 37,252,1,37
253,PERIOD 01/2324,WEEK 37/2324,99 DEC 2023,SATURDAY,2023-12-09,2023-24,2023,12,WEEK 37,253,1,37
254,PERIOD 01/2324,WEEK 37/2324,100 DEC 2023,SUNDAY,2023-12-10,2023-24,2023,12,WEEK 37,254,1,37
255,PERIOD 01/2324,WEEK 38/2324,111 DEC 2023,MONDAY,2023-12-11,2023-24,2023,12,WEEK 38,255,1,38
256,PERIOD 01/2324,WEEK 38/2324,122 DEC 2023,TUESDAY,2023-12-12,2023-24,2023,12,WEEK 38,256,1,38
257,PERIOD 01/2324,WEEK 38/2324,133 DEC 2023,WEDNESDAY,2023-12-13,2023-24,2023,12,WEEK 38,257,1,38
258,PERIOD 01/2324,WEEK 38/2324,144 DEC 2023,THURSDAY,2023-12-14,2023-24,2023,12,WEEK 38,258,1,38
259,PERIOD 01/2324,WEEK 38/2324,155 DEC 2023,FRIDAY,2023-12-15,2023-24,2023,12,WEEK 38,259,1,38
260,PERIOD 01/2324,WEEK 38/2324,166 DEC 2023,SATURDAY,2023-12-16,2023-24,2023,12,WEEK 38,260,1,38
261,PERIOD 01/2324,WEEK 38/2324,177 DEC 2023,SUNDAY,2023-12-17,2023-24,2023,12,WEEK 38,261,1,38
262,PERIOD 01/2324,WEEK 39/2324,188 DEC 2023,MONDAY,2023-12-18,2023-24,2023,12,WEEK 39,262,1,39
263,PERIOD 01/2324,WEEK 39/2324,199 DEC 2023,TUESDAY,2023-12-19,2023-24,2023,12,WEEK 39,263,1,39
264,PERIOD 01/2324,WEEK 39/2324,200 DEC 2023,WEDNESDAY,2023-12-20,2023-24,2023,12,WEEK 39,264,1,39
265,PERIOD 01/2324,WEEK 39/2324,211 DEC 2023,THURSDAY,2023-12-21,2023-24,2023,12,WEEK 39,265,1,39
266,PERIOD 01/2324,WEEK 39/2324,222 DEC 2023,FRIDAY,2023-12-22,2023-24,2023,12,WEEK 39,266,1,39
267,PERIOD 01/2324,WEEK 39/2324,233 DEC 2023,SATURDAY,2023-12-23,2023-24,2023,12,WEEK 39,267,1,39
268,PERIOD 01/2324,WEEK 39/2324,244 DEC 2023,SUNDAY,2023-12-24,2023-24,2023,12,WEEK 39,268,1,39
269,PERIOD 01/2324,WEEK 40/2324,255 DEC 2023,MONDAY,2023-12-25,2023-24,2023,12,WEEK 40,269,1,40
270,PERIOD 01/2324,WEEK 40/2324,266 DEC 2023,TUESDAY,2023-12-26,2023-24,2023,12,WEEK 40,270,1,40
271,PERIOD 01/2324,WEEK 40/2324,277 DEC 2023,WEDNESDAY,2023-12-27,2023-24,2023,12,WEEK 40,271,1,40
272,PERIOD 01/2324,WEEK 40/2324,288 DEC 2023,THURSDAY,2023-12-28,2023-24,2023,12,WEEK 40,272,1,40
273,PERIOD 01/2324,WEEK 40/2324,299 DEC 2023,FRIDAY,2023-12-29,2023-24,2023,12,WEEK 40,273,1,40
274,PERIOD 01/2324,WEEK 40/2324,300 DEC 2023,SATURDAY,2023-12-30,2023-24,2023,12,WEEK 40,274,1,40
275,PERIOD 01/2324,WEEK 40/2324,311 DEC 2023,SUNDAY,2023-12-31,2023-24,2023,12,WEEK 40,275,1,40
276,PERIOD 01/2324,WEEK 41/2324,11 JAN 2024,MONDAY,2024-01-01,2023-24,2024,1,WEEK 41,276,0,41
277,PERIOD 01/2324,WEEK 41/2324,22 JAN 2024,TUESDAY,2024-01-02,2023-24,2024,1,WEEK 41,277,0,41
278,PERIOD 01/2324,WEEK 41/2324,33 JAN 2024,WEDNESDAY,2024-01-03,2023-24,2024,1,WEEK 41,278,0,41
279,PERIOD 01/2324,WEEK 41/2324,44 JAN 2024,THURSDAY,2024-01-04,2023-24,2024,1,WEEK 41,279,0,41
280,PERIOD 01/2324,WEEK 41/2324,55 JAN 2024,FRIDAY,2024-01-05,2023-24,2024,1,WEEK 41,280,0,41
281,PERIOD 01/2324,WEEK 41/2324,66 JAN 2024,SATURDAY,2024-01-06,2023-24,2024,1,WEEK 41,281,0,41
282,PERIOD 01/2324,WEEK 41/2324,77 JAN 2024,SUNDAY,2024-01-07,2023-24,2024,1,WEEK 41,282,0,41
283,PERIOD 01/2324,WEEK 42/2324,88 JAN 2024,MONDAY,2024-01-08,2023-24,2024,1,WEEK 42,283,0,42
284,PERIOD 01/2324,WEEK 42/2324,99 JAN 2024,TUESDAY,2024-01-09,2023-24,2024,1,WEEK 42,284,0,42
285,PERIOD 01/2324,WEEK 42/2324,100 JAN 2024,WEDNESDAY,2024-01-10,2023-24,2024,1,WEEK 42,285,0,42
286,PERIOD 01/2324,WEEK 42/2324,111 JAN 2024,THURSDAY,2024-01-11,2023-24,2024,1,WEEK 42,286,0,42
287,PERIOD 01/2324,WEEK 42/2324,122 JAN 2024,FRIDAY,2024-01-12,2023-24,2024,1,WEEK 42,287,0,42
288,PERIOD 01/2324,WEEK 42/2324,133 JAN 2024,SATURDAY,2024-01-13,2023-24,2024,1,WEEK 42,288,0,42
289,PERIOD 01/2324,WEEK 42/2324,144 JAN 2024,SUNDAY,2024-01-14,2023-24,2024,1,WEEK 42,289,0,42
290,PERIOD 01/2324,WEEK 43/2324,155 JAN 2024,MONDAY,2024-01-15,2023-24,2024,1,WEEK 43,290,0,43
291,PERIOD 01/2324,WEEK 43/2324,166 JAN 2024,TUESDAY,2024-01-16,2023-24,2024,1,WEEK 43,291,0,43
292,PERIOD 01/2324,WEEK 43/2324,177 JAN 2024,WEDNESDAY,2024-01-17,2023-24,2024,1,WEEK 43,292,0,43
293,PERIOD 01/2324,WEEK 43/2324,188 JAN 2024,THURSDAY,2024-01-18,2023-24,2024,1,WEEK 43,293,0,43
294,PERIOD 01/2324,WEEK 43/2324,199 JAN 2024,FRIDAY,2024-01-19,2023-24,2024,1,WEEK 43,294,0,43
295,PERIOD 01/2324,WEEK 43/2324,200 JAN 2024,SATURDAY,2024-01-20,2023-24,2024,1,WEEK 43,295,0,43
296,PERIOD 01/2324,WEEK 43/2324,211 JAN 2024,SUNDAY,2024-01-21,2023-24,2024,1,WEEK 43,296,0,43
297,PERIOD 01/2324,WEEK 44/2324,222 JAN 2024,MONDAY,2024-01-22,2023-24,2024,1,WEEK 44,297,0,44
298,PERIOD 01/2324,WEEK 44/2324,233 JAN 2024,TUESDAY,2024-01-23,2023-24,2024,1,WEEK 44,298,0,44
299,PERIOD 01/2324,WEEK 44/2324,244 JAN 2024,WEDNESDAY,2024-01-24,2023-24,2024,1,WEEK 44,299,0,44
300,PERIOD 01/2324,WEEK 44/2324,255 JAN 2024,THURSDAY,2024-01-25,2023-24,2024,1,WEEK 44,300,0,44
301,PERIOD 01/2324,WEEK 44/2324,266 JAN 2024,FRIDAY,2024-01-26,2023-24,2024,1,WEEK 44,301,0,44
302,PERIOD 01/2324,WEEK 44/2324,277 JAN 2024,SATURDAY,2024-01-27,2023-24,2024,1,WEEK 44,302,0,44
303,PERIOD 01/2324,WEEK 44/2324,288 JAN 2024,SUNDAY,2024-01-28,2023-24,2024,1,WEEK 44,303,0,44
304,PERIOD 01/2324,WEEK 45/2324,299 JAN 2024,MONDAY,2024-01-29,2023-24,2024,1,WEEK 45,304,0,45
305,PERIOD 01/2324,WEEK 45/2324,300 JAN 2024,TUESDAY,2024-01-30,2023-24,2024,1,WEEK 45,305,0,45
306,PERIOD 01/2324,WEEK 45/2324,311 JAN 2024,WEDNESDAY,2024-01-31,2023-24,2024,1,WEEK 45,306,0,45
307,PERIOD 01/2324,WEEK 45/2324,11 FEB 2024,THURSDAY,2024-02-01,2023-24,2024,2,WEEK 45,307,0,45
308,PERIOD 01/2324,WEEK 45/2324,22 FEB 2024,FRIDAY,2024-02-02,2023-24,2024,2,WEEK 45,308,0,45
309,PERIOD 01/2324,WEEK 45/2324,33 FEB 2024,SATURDAY,2024-02-03,2023-24,2024,2,WEEK 45,309,0,45
310,PERIOD 01/2324,WEEK 45/2324,44 FEB 2024,SUNDAY,2024-02-04,2023-24,2024,2,WEEK 45,310,0,45
311,PERIOD 01/2324,WEEK 46/2324,55 FEB 2024,MONDAY,2024-02-05,2023-24,2024,2,WEEK 46,311,0,46
312,PERIOD 01/2324,WEEK 46/2324,66 FEB 2024,TUESDAY,2024-02-06,2023-24,2024,2,WEEK 46,312,0,46
313,PERIOD 01/2324,WEEK 46/2324,77 FEB 2024,WEDNESDAY,2024-02-07,2023-24,2024,2,WEEK 46,313,0,46
314,PERIOD 01/2324,WEEK 46/2324,88 FEB 2024,THURSDAY,2024-02-08,2023-24,2024,2,WEEK 46,314,0,46
315,PERIOD 01/2324,WEEK 46/2324,99 FEB 2024,FRIDAY,2024-02-09,2023-24,2024,2,WEEK 46,315,0,46
316,PERIOD 01/2324,WEEK 46/2324,100 FEB 2024,SATURDAY,2024-02-10,2023-24,2024,2,WEEK 46,316,0,46
317,PERIOD 01/2324,WEEK 46/2324,111 FEB 2024,SUNDAY,2024-02-11,2023-24,2024,2,WEEK 46,317,0,46
318,PERIOD 01/2324,WEEK 47/2324,122 FEB 2024,MONDAY,2024-02-12,2023-24,2024,2,WEEK 47,318,0,47
319,PERIOD 01/2324,WEEK 47/2324,133 FEB 2024,TUESDAY,2024-02-13,2023-24,2024,2,WEEK 47,319,0,47
320,PERIOD 01/2324,WEEK 47/2324,144 FEB 2024,WEDNESDAY,2024-02-14,2023-24,2024,2,WEEK 47,320,0,47
321,PERIOD 01/2324,WEEK 47/2324,155 FEB 2024,THURSDAY,2024-02-15,2023-24,2024,2,WEEK 47,321,0,47
322,PERIOD 01/2324,WEEK 47/2324,166 FEB 2024,FRIDAY,2024-02-16,2023-24,2024,2,WEEK 47,322,0,47
323,PERIOD 01/2324,WEEK 47/2324,177 FEB 2024,SATURDAY,2024-02-17,2023-24,2024,2,WEEK 47,323,0,47
324,PERIOD 01/2324,WEEK 47/2324,188 FEB 2024,SUNDAY,2024-02-18,2023-24,2024,2,WEEK 47,324,0,47
325,PERIOD 01/2324,WEEK 48/2324,199 FEB 2024,MONDAY,2024-02-19,2023-24,2024,2,WEEK 48,325,0,48
326,PERIOD 01/2324,WEEK 48/2324,200 FEB 2024,TUESDAY,2024-02-20,2023-24,2024,2,WEEK 48,326,0,48
327,PERIOD 01/2324,WEEK 48/2324,211 FEB 2024,WEDNESDAY,2024-02-21,2023-24,2024,2,WEEK 48,327,0,48
328,PERIOD 01/2324,WEEK 48/2324,222 FEB 2024,THURSDAY,2024-02-22,2023-24,2024,2,WEEK 48,328,0,48
329,PERIOD 01/2324,WEEK 48/2324,233 FEB 2024,FRIDAY,2024-02-23,2023-24,2024,2,WEEK 48,329,0,48
330,PERIOD 01/2324,WEEK 48/2324,244 FEB 2024,SATURDAY,2024-02-24,2023-24,2024,2,WEEK 48,330,0,48
331,PERIOD 01/2324,WEEK 48/2324,255 FEB 2024,SUNDAY,2024-02-25,2023-24,2024,2,WEEK 48,331,0,48
332,PERIOD 01/2324,WEEK 49/2324,266 FEB 2024,MONDAY,2024-02-26,2023-24,2024,2,WEEK 49,332,0,49
333,PERIOD 01/2324,WEEK 49/2324,277 FEB 2024,TUESDAY,2024-02-27,2023-24,2024,2,WEEK 49,333,0,49
334,PERIOD 01/2324,WEEK 49/2324,288 FEB 2024,WEDNESDAY,2024-02-28,2023-24,2024,2,WEEK 49,334,0,49
335,PERIOD 01/2324,WEEK 49/2324,299 FEB 2024,THURSDAY,2024-02-29,2023-24,2024,2,WEEK 49,335,0,49
336,PERIOD 01/2324,WEEK 49/2324,11 MAR 2024,FRIDAY,2024-03-01,2023-24,2024,3,WEEK 49,336,0,49
337,PERIOD 01/2324,WEEK 49/2324,22 MAR 2024,SATURDAY,2024-03-02,2023-24,2024,3,WEEK 49,337,0,49
338,PERIOD 01/2324,WEEK 49/2324,33 MAR 2024,SUNDAY,2024-03-03,2023-24,2024,3,WEEK 49,338,0,49
339,PERIOD 01/2324,WEEK 50/2324,44 MAR 2024,MONDAY,2024-03-04,2023-24,2024,3,WEEK 50,339,0,50
340,PERIOD 01/2324,WEEK 50/2324,55 MAR 2024,TUESDAY,2024-03-05,2023-24,2024,3,WEEK 50,340,0,50
341,PERIOD 01/2324,WEEK 50/2324,66 MAR 2024,WEDNESDAY,2024-03-06,2023-24,2024,3,WEEK 50,341,0,50
342,PERIOD 01/2324,WEEK 50/2324,77 MAR 2024,THURSDAY,2024-03-07,2023-24,2024,3,WEEK 50,342,0,50
343,PERIOD 01/2324,WEEK 50/2324,88 MAR 2024,FRIDAY,2024-03-08,2023-24,2024,3,WEEK 50,343,0,50
344,PERIOD 01/2324,WEEK 50/2324,99 MAR 2024,SATURDAY,2024-03-09,2023-24,2024,3,WEEK 50,344,0,50
345,PERIOD 01/2324,WEEK 50/2324,100 MAR 2024,SUNDAY,2024-03-10,2023-24,2024,3,WEEK 50,345,0,50
346,PERIOD 01/2324,WEEK 51/2324,111 MAR 2024,MONDAY,2024-03-11,2023-24,2024,3,WEEK 51,346,0,51
347,PERIOD 01/2324,WEEK 51/2324,122 MAR 2024,TUESDAY,2024-03-12,2023-24,2024,3,WEEK 51,347,0,51
348,PERIOD 01/2324,WEEK 51/2324,133 MAR 2024,WEDNESDAY,2024-03-13,2023-24,2024,3,WEEK 51,348,0,51
349,PERIOD 01/2324,WEEK 51/2324,144 MAR 2024,THURSDAY,2024-03-14,2023-24,2024,3,WEEK 51,349,0,51
350,PERIOD 01/2324,WEEK 51/2324,155 MAR 2024,FRIDAY,2024-03-15,2023-24,2024,3,WEEK 51,350,0,51
351,PERIOD 01/2324,WEEK 51/2324,166 MAR 2024,SATURDAY,2024-03-16,2023-24,2024,3,WEEK 51,351,0,51
352,PERIOD 01/2324,WEEK 51/2324,177 MAR 2024,SUNDAY,2024-03-17,2023-24,2024,3,WEEK 51,352,0,51
353,PERIOD 01/2324,WEEK 52/2324,188 MAR 2024,MONDAY,2024-03-18,2023-24,2024,3,WEEK 52,353,0,52
354,PERIOD 01/2324,WEEK 52/2324,199 MAR 2024,TUESDAY,2024-03-19,2023-24,2024,3,WEEK 52,354,0,52
355,PERIOD 01/2324,WEEK 52/2324,200 MAR 2024,WEDNESDAY,2024-03-20,2023-24,2024,3,WEEK 52,355,0,52
356,PERIOD 01/2324,WEEK 52/2324,211 MAR 2024,THURSDAY,2024-03-21,2023-24,2024,3,WEEK 52,356,0,52
357,PERIOD 01/2324,WEEK 52/2324,222 MAR 2024,FRIDAY,2024-03-22,2023-24,2024,3,WEEK 52,357,0,52
358,PERIOD 01/2324,WEEK 52/2324,233 MAR 2024,SATURDAY,2024-03-23,2023-24,2024,3,WEEK 52,358,0,52
359,PERIOD 01/2324,WEEK 52/2324,244 MAR 2024,SUNDAY,2024-03-24,2023-24,2024,3,WEEK 52,359,0,52
360,PERIOD 01/2324,WEEK 53/2324,255 MAR 2024,MONDAY,2024-03-25,2023-24,2024,3,WEEK 53,360,0,53
361,PERIOD 01/2324,WEEK 53/2324,266 MAR 2024,TUESDAY,2024-03-26,2023-24,2024,3,WEEK 53,361,0,53
362,PERIOD 01/2324,WEEK 53/2324,277 MAR 2024,WEDNESDAY,2024-03-27,2023-24,2024,3,WEEK 53,362,0,53
363,PERIOD 01/2324,WEEK 53/2324,288 MAR 2024,THURSDAY,2024-03-28,2023-24,2024,3,WEEK 53,363,0,53
364,PERIOD 01/2324,WEEK 53/2324,299 MAR 2024,FRIDAY,2024-03-29,2023-24,2024,3,WEEK 53,364,0,53
365,PERIOD 01/2324,WEEK 53/2324,300 MAR 2024,SATURDAY,2024-03-30,2023-24,2024,3,WEEK 53,365,0,53
366,PERIOD 01/2324,WEEK 53/2324,311 MAR 2024,SUNDAY,2024-03-31,2023-24,2024,3,WEEK 53,366,0,53
